,Group1,Group2,Source
1997,0.010569853,0.989430147,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
1998,0.007142857,0.992857143,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
1999,0.09965035,0.90034965,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2000,0.624611077,0.375388923,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2001,0.753023706,0.246976294,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2002,0.353655891,0.646344109,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2003,0.002496434,0.997503566,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2004,0.033557047,0.966442953,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2005,0.232850427,0.767149573,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2006,0.617705605,0.382294395,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2007,0.209123723,0.790876277,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2008,0.644219872,0.355780128,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2009,0.839389512,0.160610488,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2010,0.464806481,0.535193519,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2011,0.715343602,0.284656398,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2012,0.033375383,0.966624617,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2013,0.437470519,0.562529481,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2014,0.364891901,0.635108099,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2015,0.048764041,0.951235959,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2016,0.47856384,0.52143616,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
2017,0.297420151,0.702579849,"From CocriculationData.csv -- Bangladesh, China, Cambodia, Indonesia, Thailand, Vietnam, Japan"
