ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 06/11/2017 18:36:15 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1996,52,12/23/96,12/29/96,,1,,,,,1,1,,,,0,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,1,12/30/96,1/5/97,,0,0,,0,,1,1,,,,0,1,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,2,1/6/97,1/12/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,3,1/13/97,1/19/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,4,1/20/97,1/26/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,5,1/27/97,2/2/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,6,2/3/97,2/9/97,,0,0,,0,,0,0,,,,0,0,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,7,2/10/97,2/16/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,8,2/17/97,2/23/97,,0,0,,0,,0,0,,,2,2,2,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,9,2/24/97,3/2/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,10,3/3/97,3/9/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,11,3/10/97,3/16/97,,0,0,,0,,0,0,,,,0,0,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,12,3/17/97,3/23/97,,0,0,,0,,0,0,,,,0,0,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,13,3/24/97,3/30/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,14,3/31/97,4/6/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,15,4/7/97,4/13/97,,0,0,,0,,0,0,,,1,1,1,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,16,4/14/97,4/20/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,17,4/21/97,4/27/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,18,4/28/97,5/4/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,19,5/5/97,5/11/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,20,5/12/97,5/18/97,,5,0,,0,,0,0,,,5,5,5,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,21,5/19/97,5/25/97,,0,0,,0,,0,0,,,,0,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,1997,22,5/26/97,6/1/97,,0,0,,0,,0,0,,,2,2,2,,Local Outbreak
