Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A
Azerbaijan,European Region of WHO,Western Asia,2008,11,3/10/08,3/16/08,,30,0,,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2008,12,3/17/08,3/23/08,,32,0,,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,40,10/4/10,10/10/10,,5,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,45,11/8/10,11/14/10,,16,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,46,11/15/10,11/21/10,,5,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,47,11/22/10,11/28/10,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,48,11/29/10,12/5/10,,8,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,49,12/6/10,12/12/10,,7,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,50,12/13/10,12/19/10,,19,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,51,12/20/10,12/26/10,,4,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2010,52,12/27/10,1/2/11,,6,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,1,1/3/11,1/9/11,,14,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,2,1/10/11,1/16/11,,14,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,3,1/17/11,1/23/11,,18,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,4,1/24/11,1/30/11,,24,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,5,1/31/11,2/6/11,,28,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,6,2/7/11,2/13/11,,34,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,7,2/14/11,2/20/11,,44,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,8,2/21/11,2/27/11,,32,0,0,0,,0,0
Azerbaijan,European Region of WHO,Western Asia,2011,9,2/28/11,3/6/11,,30,0,0,0,,0,0
