ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 03/11/2017 18:20:42 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Belgium,European Region of WHO,South West Europe,1997,1,12/30/96,1/5/97,,,,,,,57,57,,,,0,57,,No Report
Belgium,European Region of WHO,South West Europe,1997,2,1/6/97,1/12/97,,,,,,,57,57,,,2,2,59,,No Report
Belgium,European Region of WHO,South West Europe,1997,3,1/13/97,1/19/97,,,,,,,82,82,,,1,1,83,,No Report
Belgium,European Region of WHO,South West Europe,1997,4,1/20/97,1/26/97,,,,,,,91,91,,,9,9,100,,No Report
Belgium,European Region of WHO,South West Europe,1997,5,1/27/97,2/2/97,,,,,,,46,46,,,10,10,56,,No Report
Belgium,European Region of WHO,South West Europe,1997,6,2/3/97,2/9/97,,,,,,,35,35,,,10,10,45,,No Report
Belgium,European Region of WHO,South West Europe,1997,7,2/10/97,2/16/97,,,,,,,16,16,,,8,8,24,,No Report
Belgium,European Region of WHO,South West Europe,1997,8,2/17/97,2/23/97,,,,,,,5,5,,,8,8,13,,No Report
Belgium,European Region of WHO,South West Europe,1997,9,2/24/97,3/2/97,,,,,,,9,9,,,15,15,24,,No Report
Belgium,European Region of WHO,South West Europe,1997,10,3/3/97,3/9/97,,,,,,,3,3,,,3,3,6,,Sporadic
Belgium,European Region of WHO,South West Europe,1997,11,3/10/97,3/16/97,,,,,,,,0,,,,0,0,,No Report
Belgium,European Region of WHO,South West Europe,1997,35,8/25/97,8/31/97,,,,,,,0,0,,,,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,1997,36,9/1/97,9/7/97,,,,,,,0,0,,,,0,0,,No Activity
Belgium,European Region of WHO,South West Europe,1997,37,9/8/97,9/14/97,,,,,,,0,0,,,1,1,1,,Local Outbreak
