ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 03/11/2017 18:24:03 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Denmark,European Region of WHO,Northern Europe,1997,7,2/10/97,2/16/97,,,,,,,0,0,,,,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,1997,8,2/17/97,2/23/97,,,,,,,1,1,,,1,1,2,,No Report
Denmark,European Region of WHO,Northern Europe,1997,9,2/24/97,3/2/97,,,,,,,,0,,,,0,0,,No Report
Denmark,European Region of WHO,Northern Europe,1997,10,3/3/97,3/9/97,,,,,,,0,0,,,3,3,3,,No Report
Denmark,European Region of WHO,Northern Europe,1998,2,1/5/98,1/11/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,3,1/12/98,1/18/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,4,1/19/98,1/25/98,,,,,,,2,2,,,,0,2,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,5,1/26/98,2/1/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,6,2/2/98,2/8/98,,,2,,,,2,4,,,,0,4,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,7,2/9/98,2/15/98,,,,,,,1,1,,,,0,1,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,8,2/16/98,2/22/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,9,2/23/98,3/1/98,,,,,,,8,8,,,,0,8,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,10,3/2/98,3/8/98,,,,,,,4,4,,,,0,4,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,12,3/16/98,3/22/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,14,3/30/98,4/5/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,15,4/6/98,4/12/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,16,4/13/98,4/19/98,,,,,,,,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,35,8/24/98,8/30/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,36,8/31/98,9/6/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,37,9/7/98,9/13/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,38,9/14/98,9/20/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,39,9/21/98,9/27/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,40,9/28/98,10/4/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,41,10/5/98,10/11/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,42,10/12/98,10/18/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,43,10/19/98,10/25/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,44,10/26/98,11/1/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,45,11/2/98,11/8/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,46,11/9/98,11/15/98,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,47,11/16/98,11/22/98,,17,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,48,11/23/98,11/29/98,,14,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,49,11/30/98,12/6/98,,14,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,50,12/7/98,12/13/98,,20,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,51,12/14/98,12/20/98,,8,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,52,12/21/98,12/27/98,,9,0,,,,0,0,,,1,1,1,,Sporadic
Denmark,European Region of WHO,Northern Europe,1998,53,12/28/98,1/3/99,,10,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,1,1/4/99,1/10/99,,8,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,2,1/11/99,1/17/99,,3,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,3,1/18/99,1/24/99,,8,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,4,1/25/99,1/31/99,,15,0,,,,0,0,,,,0,0,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,1999,5,2/1/99,2/7/99,,68,0,,,,0,0,,,,0,0,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,1999,6,2/8/99,2/14/99,,82,0,,,,0,0,,,,0,0,,Widespread Outbreak
Denmark,European Region of WHO,Northern Europe,1999,7,2/15/99,2/21/99,,16,0,,,,0,0,,,,0,0,,Widespread Outbreak
Denmark,European Region of WHO,Northern Europe,1999,8,2/22/99,2/28/99,,8,0,,,,0,0,,,,0,0,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,1999,9,3/1/99,3/7/99,,10,0,,,,0,0,,,,0,0,,Local Outbreak
Denmark,European Region of WHO,Northern Europe,1999,10,3/8/99,3/14/99,,7,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,11,3/15/99,3/21/99,,12,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,12,3/22/99,3/28/99,,10,0,,,,0,0,,,1,1,1,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,13,3/29/99,4/4/99,,11,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,34,8/23/99,8/29/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,35,8/30/99,9/5/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,36,9/6/99,9/12/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,37,9/13/99,9/19/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,38,9/20/99,9/26/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,39,9/27/99,10/3/99,,4,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,40,10/4/99,10/10/99,,4,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,41,10/11/99,10/17/99,,7,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,42,10/18/99,10/24/99,,0,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,43,10/25/99,10/31/99,,4,0,,,,0,0,,,,0,0,,Sporadic
Denmark,European Region of WHO,Northern Europe,1999,44,11/1/99,11/7/99,,3,0,,,,0,0,,,,0,0,,Sporadic
