ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 03/11/2017 18:26:31 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Estonia,European Region of WHO,Northern Europe,2008,1,12/31/07,1/6/08,,3,0,,,,0,0,,,,0,0,,No Report
Estonia,European Region of WHO,Northern Europe,2008,2,1/7/08,1/13/08,,15,1,,,,0,1,,,,0,1,,No Report
Estonia,European Region of WHO,Northern Europe,2008,3,1/14/08,1/20/08,,10,1,,,,0,1,,,1,1,2,,No Report
Estonia,European Region of WHO,Northern Europe,2008,4,1/21/08,1/27/08,,26,5,,,,2,7,,,,0,7,,No Report
Estonia,European Region of WHO,Northern Europe,2008,5,1/28/08,2/3/08,,61,19,,,,4,23,,,,0,23,,No Report
Estonia,European Region of WHO,Northern Europe,2008,6,2/4/08,2/10/08,,40,19,,,,2,21,,,,0,21,,No Report
Estonia,European Region of WHO,Northern Europe,2008,7,2/11/08,2/17/08,,72,18,,,,1,19,,,,0,19,,No Report
Estonia,European Region of WHO,Northern Europe,2008,8,2/18/08,2/24/08,,53,17,,,,5,22,,,,0,22,,No Report
Estonia,European Region of WHO,Northern Europe,2008,9,2/25/08,3/2/08,,55,20,,,,0,20,,,2,2,22,,No Report
Estonia,European Region of WHO,Northern Europe,2008,10,3/3/08,3/9/08,,55,23,,,,1,24,,,2,2,26,,No Report
Estonia,European Region of WHO,Northern Europe,2008,11,3/10/08,3/16/08,,50,10,,,,10,20,,,2,2,22,,No Report
Estonia,European Region of WHO,Northern Europe,2008,20,5/12/08,5/18/08,,60,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,21,5/19/08,5/25/08,,106,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,22,5/26/08,6/1/08,,65,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,23,6/2/08,6/8/08,,56,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,24,6/9/08,6/15/08,,79,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,25,6/16/08,6/22/08,,62,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,26,6/23/08,6/29/08,,36,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,27,6/30/08,7/6/08,,39,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,28,7/7/08,7/13/08,,25,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,29,7/14/08,7/20/08,,16,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,30,7/21/08,7/27/08,,13,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,31,7/28/08,8/3/08,,16,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,32,8/4/08,8/10/08,,36,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,33,8/11/08,8/17/08,,53,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,34,8/18/08,8/24/08,,23,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,35,8/25/08,8/31/08,,50,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,36,9/1/08,9/7/08,,18,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,37,9/8/08,9/14/08,,26,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,38,9/15/08,9/21/08,,62,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,39,9/22/08,9/28/08,,91,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,40,9/29/08,10/5/08,,93,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,41,10/6/08,10/12/08,,61,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,42,10/13/08,10/19/08,,30,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,43,10/20/08,10/26/08,,55,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,44,10/27/08,11/2/08,,75,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,45,11/3/08,11/9/08,,84,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,46,11/10/08,11/16/08,,65,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,47,11/17/08,11/23/08,,6,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,48,11/24/08,11/30/08,,123,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,49,12/1/08,12/7/08,,53,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,50,12/8/08,12/14/08,,96,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,51,12/15/08,12/21/08,,23,0,,,,0,0,0,0,0,0,0,,No Activity
Estonia,European Region of WHO,Northern Europe,2008,52,12/22/08,12/28/08,,6,0,,,,0,0,0,0,0,0,0,,No Activity
