ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 07/11/2017 01:18:36 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Germany,European Region of WHO,South West Europe,1996,2,1/8/96,1/14/96,,,,,,,,0,,,,0,0,,No Report
Germany,European Region of WHO,South West Europe,1996,3,1/15/96,1/21/96,,,,,,,,0,,,,0,0,,No Report
Germany,European Region of WHO,South West Europe,1996,49,12/2/96,12/8/96,,,,,2,,,2,,,,0,2,,No Report
Germany,European Region of WHO,South West Europe,1997,1,12/30/96,1/5/97,,,,,1,,,1,,,,0,1,,No Activity
Germany,European Region of WHO,South West Europe,1997,2,1/6/97,1/12/97,,,,,11,,,11,,,2,2,13,,Sporadic
Germany,European Region of WHO,South West Europe,1997,3,1/13/97,1/19/97,,,,,17,,,17,,,6,6,23,,Sporadic
Germany,European Region of WHO,South West Europe,1997,4,1/20/97,1/26/97,,,,,49,,,49,,,18,18,67,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1997,5,1/27/97,2/2/97,,,,,53,,,53,,,21,21,74,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1997,6,2/3/97,2/9/97,,,,,43,,,43,,,38,38,81,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,7,2/10/97,2/16/97,,,3,,28,,,31,,,50,50,81,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1997,8,2/17/97,2/23/97,,,1,,16,,,17,,,32,32,49,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1997,9,2/24/97,3/2/97,,,1,,2,,,3,,,32,32,35,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,10,3/3/97,3/9/97,,,5,,2,,,7,,,24,24,31,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,11,3/10/97,3/16/97,,,,,,,,0,,,2,2,2,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,12,3/17/97,3/23/97,,,,,,,,0,,,1,1,1,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,13,3/24/97,3/30/97,,,,,1,,,1,,,1,1,2,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,14,3/31/97,4/6/97,,,,,,,,0,,,1,1,1,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,16,4/14/97,4/20/97,,,,,,,,0,,,1,1,1,,No Report
Germany,European Region of WHO,South West Europe,1997,18,4/28/97,5/4/97,,,,,,,,0,,,,0,0,,Sporadic
Germany,European Region of WHO,South West Europe,1997,19,5/5/97,5/11/97,,,,,,,,0,,,,0,0,,No Report
Germany,European Region of WHO,South West Europe,1997,20,5/12/97,5/18/97,,,,,2,,,2,,,2,2,4,,Local Outbreak
Germany,European Region of WHO,South West Europe,1997,40,9/29/97,10/5/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,41,10/6/97,10/12/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,42,10/13/97,10/19/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,43,10/20/97,10/26/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,44,10/27/97,11/2/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,45,11/3/97,11/9/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,46,11/10/97,11/16/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,47,11/17/97,11/23/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,48,11/24/97,11/30/97,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1997,49,12/1/97,12/7/97,,182,,,3,,,3,,,,0,3,,Sporadic
Germany,European Region of WHO,South West Europe,1997,50,12/8/97,12/14/97,,101,,,1,,,1,,,,0,1,,Sporadic
Germany,European Region of WHO,South West Europe,1997,51,12/15/97,12/21/97,,55,,,12,,,12,,,,0,12,,Sporadic
Germany,European Region of WHO,South West Europe,1997,52,12/22/97,12/28/97,,,,,5,,,5,,,,0,5,,Sporadic
Germany,European Region of WHO,South West Europe,1998,1,12/29/97,1/4/98,,,,,12,,,12,,,,0,12,,Sporadic
Germany,European Region of WHO,South West Europe,1998,2,1/5/98,1/11/98,,,,,26,,,26,,,,0,26,,Sporadic
Germany,European Region of WHO,South West Europe,1998,3,1/12/98,1/18/98,,,,,50,,,50,,,,0,50,,Sporadic
Germany,European Region of WHO,South West Europe,1998,4,1/19/98,1/25/98,,,,,60,,,60,,,,0,60,,Local Outbreak
Germany,European Region of WHO,South West Europe,1998,5,1/26/98,2/1/98,,,,,105,,,105,,,,0,105,,Local Outbreak
Germany,European Region of WHO,South West Europe,1998,6,2/2/98,2/8/98,,,4,,66,,,70,,,2,2,72,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1998,7,2/9/98,2/15/98,,,2,,101,,,103,,,,0,103,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1998,8,2/16/98,2/22/98,,,1,,93,,,94,,,,0,94,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1998,9,2/23/98,3/1/98,,,3,,76,,9,88,,,1,1,89,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1998,10,3/2/98,3/8/98,,,9,,55,,11,75,,,1,1,76,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,1998,11,3/9/98,3/15/98,,,1,,27,,25,53,,,,0,53,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1998,12,3/16/98,3/22/98,,,2,,35,,,37,,,,0,37,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1998,13,3/23/98,3/29/98,,,4,,7,,,11,,,,0,11,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1998,14,3/30/98,4/5/98,,,,,,,,0,,,,0,0,,Local Outbreak
Germany,European Region of WHO,South West Europe,1998,16,4/13/98,4/19/98,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,17,4/20/98,4/26/98,,,,,7,,,7,,,,0,7,,Sporadic
Germany,European Region of WHO,South West Europe,1998,32,8/3/98,8/9/98,,,,,,,,0,,,,0,0,,No Report
Germany,European Region of WHO,South West Europe,1998,39,9/21/98,9/27/98,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,40,9/28/98,10/4/98,,57,0,,0,,0,0,,,1,1,1,,Sporadic
Germany,European Region of WHO,South West Europe,1998,41,10/5/98,10/11/98,,144,0,,0,,0,0,,,1,1,1,,Sporadic
Germany,European Region of WHO,South West Europe,1998,42,10/12/98,10/18/98,,114,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,43,10/19/98,10/25/98,,145,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,44,10/26/98,11/1/98,,153,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,45,11/2/98,11/8/98,,165,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,46,11/9/98,11/15/98,,184,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1998,47,11/16/98,11/22/98,,237,0,,4,,0,4,,,,0,4,,Sporadic
Germany,European Region of WHO,South West Europe,1998,48,11/23/98,11/29/98,,316,0,,7,,0,7,,,,0,7,,Sporadic
Germany,European Region of WHO,South West Europe,1998,49,11/30/98,12/6/98,,313,0,,9,,0,9,,,3,3,12,,Sporadic
Germany,European Region of WHO,South West Europe,1998,50,12/7/98,12/13/98,,332,0,,13,,0,13,,,2,2,15,,Sporadic
Germany,European Region of WHO,South West Europe,1998,51,12/14/98,12/20/98,,101,0,,11,,0,11,,,3,3,14,,Sporadic
Germany,European Region of WHO,South West Europe,1998,52,12/21/98,12/27/98,,152,0,,20,,0,20,,,9,9,29,,Sporadic
Germany,European Region of WHO,South West Europe,1998,53,12/28/98,1/3/99,,305,0,,33,,0,33,,,16,16,49,,Sporadic
Germany,European Region of WHO,South West Europe,1999,1,1/4/99,1/10/99,,352,0,,101,,0,101,,,35,35,136,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,2,1/11/99,1/17/99,,441,0,,165,,0,165,,,72,72,237,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,3,1/18/99,1/24/99,,590,0,,226,,0,226,,,145,145,371,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,4,1/25/99,1/31/99,,873,0,,208,,0,208,,,87,87,295,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,5,2/1/99,2/7/99,,724,0,,164,,0,164,,,75,75,239,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,6,2/8/99,2/14/99,,664,0,,275,,122,397,,,170,170,567,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,7,2/15/99,2/21/99,,867,0,,103,,66,169,,,98,98,267,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,8,2/22/99,2/28/99,,,,,104,,8,112,,,87,87,199,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,9,3/1/99,3/7/99,,,,,72,,4,76,,,66,66,142,,Local Outbreak
Germany,European Region of WHO,South West Europe,1999,10,3/8/99,3/14/99,,,,,26,,5,31,,,37,37,68,,Local Outbreak
Germany,European Region of WHO,South West Europe,1999,11,3/15/99,3/21/99,,,,,,,,0,,,,0,0,,Local Outbreak
Germany,European Region of WHO,South West Europe,1999,12,3/22/99,3/28/99,,,,,,,,0,,,,0,0,,Sporadic
Germany,European Region of WHO,South West Europe,1999,38,9/20/99,9/26/99,,0,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1999,39,9/27/99,10/3/99,,0,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1999,40,10/4/99,10/10/99,,,,,,,,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,1999,41,10/11/99,10/17/99,,0,0,,1,,0,1,,,,0,1,,Sporadic
Germany,European Region of WHO,South West Europe,1999,42,10/18/99,10/24/99,,28,0,,2,,0,2,,,,0,2,,Sporadic
Germany,European Region of WHO,South West Europe,1999,43,10/25/99,10/31/99,,49,0,,0,,0,0,,,,0,0,,Sporadic
Germany,European Region of WHO,South West Europe,1999,44,11/1/99,11/7/99,,67,0,,3,,0,3,,,,0,3,,Sporadic
Germany,European Region of WHO,South West Europe,1999,45,11/8/99,11/14/99,,53,0,,6,,0,6,,,,0,6,,Sporadic
Germany,European Region of WHO,South West Europe,1999,46,11/15/99,11/21/99,,64,0,,5,,0,5,,,,0,5,,Sporadic
Germany,European Region of WHO,South West Europe,1999,47,11/22/99,11/28/99,,91,0,,19,,0,19,,,,0,19,,Sporadic
Germany,European Region of WHO,South West Europe,1999,48,11/29/99,12/5/99,,87,0,,35,,0,35,,,,0,35,,Sporadic
Germany,European Region of WHO,South West Europe,1999,49,12/6/99,12/12/99,,51,0,,33,,0,33,,,,0,33,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,50,12/13/99,12/19/99,,51,0,,51,,0,51,,,,0,51,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,51,12/20/99,12/26/99,,58,0,,119,,0,119,,,,0,119,,Regional Outbreak
Germany,European Region of WHO,South West Europe,1999,52,12/27/99,1/2/00,,125,0,,299,,0,299,,,,0,299,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2000,1,1/3/00,1/9/00,,275,0,,455,,0,455,,,,0,455,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2000,2,1/10/00,1/16/00,,333,0,,382,,0,382,,,1,1,383,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,2000,3,1/17/00,1/23/00,,353,0,,366,,0,366,,,,0,366,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,2000,4,1/24/00,1/30/00,,312,3,,192,,0,195,,,1,1,196,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,2000,5,1/31/00,2/6/00,,177,0,,97,,0,97,,,,0,97,,Widespread Outbreak
Germany,European Region of WHO,South West Europe,2000,6,2/7/00,2/13/00,,128,2,,48,,0,50,,,,0,50,,Regional Outbreak
Germany,European Region of WHO,South West Europe,2000,7,2/14/00,2/20/00,,105,0,,36,,0,36,,,,0,36,,Sporadic
Germany,European Region of WHO,South West Europe,2000,8,2/21/00,2/27/00,,40,,,24,,,24,,,,0,24,,Sporadic
Germany,European Region of WHO,South West Europe,2000,9,2/28/00,3/5/00,,30,,,3,,,3,,,,0,3,,Sporadic
Germany,European Region of WHO,South West Europe,2000,10,3/6/00,3/12/00,,44,,,4,,,4,,,1,1,5,,Sporadic
Germany,European Region of WHO,South West Europe,2000,11,3/13/00,3/19/00,,21,,,4,,,4,,,,0,4,,Sporadic
Germany,European Region of WHO,South West Europe,2000,12,3/20/00,3/26/00,,33,1,,,,,1,,,,0,1,,No Activity
Germany,European Region of WHO,South West Europe,2000,13,3/27/00,4/2/00,,20,,,1,,,1,,,,0,1,,No Activity
Germany,European Region of WHO,South West Europe,2000,14,4/3/00,4/9/00,,17,1,,2,,,3,,,,0,3,,No Activity
Germany,European Region of WHO,South West Europe,2000,38,9/18/00,9/24/00,,3,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,39,9/25/00,10/1/00,,4,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,40,10/2/00,10/8/00,,4,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,41,10/9/00,10/15/00,,8,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,42,10/16/00,10/22/00,,10,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,43,10/23/00,10/29/00,,5,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,44,10/30/00,11/5/00,,21,0,,0,,0,0,,,,0,0,,No Activity
Germany,European Region of WHO,South West Europe,2000,45,11/6/00,11/12/00,,47,1,,0,,0,1,,,,0,1,,Sporadic
