Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,47,11/19/07,11/25/07,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,48,11/26/07,12/2/07,8,8,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,49,12/3/07,12/9/07,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,50,12/10/07,12/16/07,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,51,12/17/07,12/23/07,12,12,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2007,52,12/24/07,12/30/07,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,1,12/31/07,1/6/08,13,13,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,2,1/7/08,1/13/08,7,7,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,3,1/14/08,1/20/08,12,12,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,4,1/21/08,1/27/08,14,14,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,5,1/28/08,2/3/08,16,16,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,6,2/4/08,2/10/08,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,7,2/11/08,2/17/08,17,17,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,8,2/18/08,2/24/08,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,9,2/25/08,3/2/08,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,10,3/3/08,3/9/08,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,11,3/10/08,3/16/08,14,14,2,0,0,0,0,2,0,0,0,0,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,12,3/17/08,3/23/08,12,12,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,13,3/24/08,3/30/08,10,10,0,0,0,0,0,0,0,0,2,2,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,14,3/31/08,4/6/08,9,9,1,0,3,0,0,4,0,0,0,0,4,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,15,4/7/08,4/13/08,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,16,4/14/08,4/20/08,8,8,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,17,4/21/08,4/27/08,10,10,0,0,2,0,0,2,0,0,1,1,3,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,18,4/28/08,5/4/08,4,4,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,19,5/5/08,5/11/08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,20,5/12/08,5/18/08,2,2,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,21,5/19/08,5/25/08,7,7,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,22,5/26/08,6/1/08,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,23,6/2/08,6/8/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,24,6/9/08,6/15/08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,25,6/16/08,6/22/08,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,26,6/23/08,6/29/08,6,6,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,27,6/30/08,7/6/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,28,7/7/08,7/13/08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,29,7/14/08,7/20/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,30,7/21/08,7/27/08,8,8,0,0,1,0,0,1,0,0,1,1,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,31,7/28/08,8/3/08,7,7,0,0,3,0,0,3,0,0,1,1,4,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,32,8/4/08,8/10/08,8,8,0,0,1,0,0,1,0,0,1,1,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,33,8/11/08,8/17/08,8,8,0,0,1,0,0,1,0,0,1,1,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,34,8/18/08,8/24/08,13,13,0,0,3,0,0,3,0,0,4,4,7,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,35,8/25/08,8/31/08,13,13,0,0,1,0,0,1,0,0,1,1,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,36,9/1/08,9/7/08,6,6,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,37,9/8/08,9/14/08,7,7,0,0,1,0,0,1,0,0,0,0,1,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,38,9/15/08,9/21/08,8,8,0,0,2,0,0,2,0,0,0,0,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,39,9/22/08,9/28/08,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,40,9/29/08,10/5/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,41,10/6/08,10/12/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,42,10/13/08,10/19/08,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,43,10/20/08,10/26/08,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,44,10/27/08,11/2/08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,45,11/3/08,11/9/08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,46,11/10/08,11/16/08,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,47,11/17/08,11/23/08,14,14,1,0,0,0,0,1,0,0,1,1,2,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,48,11/24/08,11/30/08,13,13,0,0,0,0,0,0,0,0,3,3,3,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,49,12/1/08,12/7/08,22,22,1,0,4,0,0,5,0,0,7,7,12,,Local Outbreak
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,50,12/8/08,12/14/08,3,3,0,0,0,0,0,0,0,0,3,3,3,,Local Outbreak
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,51,12/15/08,12/21/08,12,12,1,0,0,0,0,1,0,0,3,3,4,,Local Outbreak
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2008,52,12/22/08,12/28/08,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,1,12/29/08,1/4/09,,9,0,,0,,,0,0,,,0,0,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,2,1/5/09,1/11/09,23,23,5,0,3,0,0,8,0,0,3,3,11,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,3,1/12/09,1/18/09,16,16,2,0,1,0,0,3,0,0,2,2,5,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,4,1/19/09,1/25/09,18,18,3,0,3,0,0,6,0,0,2,2,8,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,5,1/26/09,2/1/09,9,9,1,0,1,0,0,2,0,0,2,2,4,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,6,2/2/09,2/8/09,5,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,7,2/9/09,2/15/09,8,8,2,0,0,0,0,2,0,0,2,2,4,,Sporadic
Pakistan,Eastern Mediterranean Region of WHO,Southern Asia,2009,8,2/16/09,2/22/09,3,3,0,0,1,0,0,1,0,0,1,1,2,,Sporadic
