"","c1","c2","c3","c4"
"1","Austria",1997,"H1",0
"2","Austria",1997,"H1p09",0
"3","Austria",1997,"H3",0
"4","Austria",1997,"A",0
"5","Austria",1998,"H1",0
"6","Austria",1998,"H1p09",0
"7","Austria",1998,"H3",22
"8","Austria",1998,"A",22
"9","Austria",1999,"H1",0
"10","Austria",1999,"H1p09",0
"11","Austria",1999,"H3",64
"12","Austria",1999,"A",64
"13","Austria",2000,"H1",0
"14","Austria",2000,"H1p09",0
"15","Austria",2000,"H3",42
"16","Austria",2000,"A",42
"17","Austria",2001,"H1",64
"18","Austria",2001,"H1p09",0
"19","Austria",2001,"H3",0
"20","Austria",2001,"A",64
"21","Austria",2002,"H1",0
"22","Austria",2002,"H1p09",0
"23","Austria",2002,"H3",0
"24","Austria",2002,"A",0
"25","Austria",2003,"H1",0
"26","Austria",2003,"H1p09",0
"27","Austria",2003,"H3",46
"28","Austria",2003,"A",46
"29","Austria",2004,"H1",0
"30","Austria",2004,"H1p09",0
"31","Austria",2004,"H3",391
"32","Austria",2004,"A",391
"33","Austria",2010,"H1",0
"34","Austria",2010,"H1p09",15
"35","Austria",2010,"H3",1
"36","Austria",2010,"A",16
"37","Austria",2011,"H1",0
"38","Austria",2011,"H1p09",673
"39","Austria",2011,"H3",13
"40","Austria",2011,"A",686
"41","Austria",2012,"H1",0
"42","Austria",2012,"H1p09",10
"43","Austria",2012,"H3",340
"44","Austria",2012,"A",350
"45","Austria",2013,"H1",0
"46","Austria",2013,"H1p09",980
"47","Austria",2013,"H3",160
"48","Austria",2013,"A",1140
"49","Austria",2014,"H1",0
"50","Austria",2014,"H1p09",232
"51","Austria",2014,"H3",261
"52","Austria",2014,"A",493
"53","Austria",2015,"H1",0
"54","Austria",2015,"H1p09",519
"55","Austria",2015,"H3",1284
"56","Austria",2015,"A",1803
"57","Austria",2016,"H1",0
"58","Austria",2016,"H1p09",289
"59","Austria",2016,"H3",388
"60","Austria",2016,"A",677
"61","Austria",2017,"H1",0
"62","Austria",2017,"H1p09",14
"63","Austria",2017,"H3",689
"64","Austria",2017,"A",703
"65","Belgium",1997,"H1",0
"66","Belgium",1997,"H1p09",0
"67","Belgium",1997,"H3",0
"68","Belgium",1997,"A",0
"69","Belgium",1998,"H1",0
"70","Belgium",1998,"H1p09",0
"71","Belgium",1998,"H3",0
"72","Belgium",1998,"A",0
"73","Belgium",1999,"H1",0
"74","Belgium",1999,"H1p09",0
"75","Belgium",1999,"H3",0
"76","Belgium",1999,"A",0
"77","Belgium",2000,"H1",2
"78","Belgium",2000,"H1p09",0
"79","Belgium",2000,"H3",0
"80","Belgium",2000,"A",2
"81","Belgium",2001,"H1",0
"82","Belgium",2001,"H1p09",0
"83","Belgium",2001,"H3",0
"84","Belgium",2001,"A",0
"85","Belgium",2002,"H1",0
"86","Belgium",2002,"H1p09",0
"87","Belgium",2002,"H3",0
"88","Belgium",2002,"A",0
"89","Belgium",2003,"H1",1
"90","Belgium",2003,"H1p09",0
"91","Belgium",2003,"H3",352
"92","Belgium",2003,"A",353
"93","Belgium",2004,"H1",1
"94","Belgium",2004,"H1p09",0
"95","Belgium",2004,"H3",61
"96","Belgium",2004,"A",62
"97","Belgium",2005,"H1",61
"98","Belgium",2005,"H1p09",0
"99","Belgium",2005,"H3",337
"100","Belgium",2005,"A",398
"101","Belgium",2007,"H1",25
"102","Belgium",2007,"H1p09",0
"103","Belgium",2007,"H3",3
"104","Belgium",2007,"A",28
"105","Belgium",2008,"H1",264
"106","Belgium",2008,"H1p09",0
"107","Belgium",2008,"H3",13
"108","Belgium",2008,"A",277
"109","Belgium",2009,"H1",26
"110","Belgium",2009,"H1p09",1476
"111","Belgium",2009,"H3",364
"112","Belgium",2009,"A",1866
"113","Belgium",2010,"H1",0
"114","Belgium",2010,"H1p09",81
"115","Belgium",2010,"H3",6
"116","Belgium",2010,"A",87
"117","Belgium",2011,"H1",0
"118","Belgium",2011,"H1p09",228
"119","Belgium",2011,"H3",7
"120","Belgium",2011,"A",235
"121","Belgium",2012,"H1",0
"122","Belgium",2012,"H1p09",64
"123","Belgium",2012,"H3",192
"124","Belgium",2012,"A",256
"125","Belgium",2013,"H1",0
"126","Belgium",2013,"H1p09",220
"127","Belgium",2013,"H3",65
"128","Belgium",2013,"A",285
"129","Belgium",2014,"H1",0
"130","Belgium",2014,"H1p09",95
"131","Belgium",2014,"H3",148
"132","Belgium",2014,"A",243
"133","Belgium",2015,"H1",26
"134","Belgium",2015,"H1p09",78
"135","Belgium",2015,"H3",578
"136","Belgium",2015,"A",682
"137","Belgium",2016,"H1",0
"138","Belgium",2016,"H1p09",130
"139","Belgium",2016,"H3",30
"140","Belgium",2016,"A",160
"141","Belgium",2017,"H1",0
"142","Belgium",2017,"H1p09",2
"143","Belgium",2017,"H3",272
"144","Belgium",2017,"A",274
"145","Denmark",1997,"H1",0
"146","Denmark",1997,"H1p09",0
"147","Denmark",1997,"H3",0
"148","Denmark",1997,"A",0
"149","Denmark",1998,"H1",2
"150","Denmark",1998,"H1p09",0
"151","Denmark",1998,"H3",39
"152","Denmark",1998,"A",41
"153","Denmark",1999,"H1",0
"154","Denmark",1999,"H1p09",0
"155","Denmark",1999,"H3",64
"156","Denmark",1999,"A",64
"157","Denmark",2000,"H1",2
"158","Denmark",2000,"H1p09",0
"159","Denmark",2000,"H3",26
"160","Denmark",2000,"A",28
"161","Denmark",2001,"H1",28
"162","Denmark",2001,"H1p09",0
"163","Denmark",2001,"H3",0
"164","Denmark",2001,"A",28
"165","Denmark",2002,"H1",0
"166","Denmark",2002,"H1p09",0
"167","Denmark",2002,"H3",25
"168","Denmark",2002,"A",25
"169","Denmark",2003,"H1",3
"170","Denmark",2003,"H1p09",0
"171","Denmark",2003,"H3",72
"172","Denmark",2003,"A",75
"173","Denmark",2004,"H1",2
"174","Denmark",2004,"H1p09",0
"175","Denmark",2004,"H3",21
"176","Denmark",2004,"A",23
"177","Denmark",2005,"H1",11
"178","Denmark",2005,"H1p09",0
"179","Denmark",2005,"H3",44
"180","Denmark",2005,"A",55
"181","Denmark",2006,"H1",1
"182","Denmark",2006,"H1p09",0
"183","Denmark",2006,"H3",25
"184","Denmark",2006,"A",26
"185","Denmark",2007,"H1",10
"186","Denmark",2007,"H1p09",0
"187","Denmark",2007,"H3",141
"188","Denmark",2007,"A",151
"189","Denmark",2008,"H1",48
"190","Denmark",2008,"H1p09",0
"191","Denmark",2008,"H3",48
"192","Denmark",2008,"A",96
"193","Denmark",2009,"H1",26
"194","Denmark",2009,"H1p09",2155
"195","Denmark",2009,"H3",471
"196","Denmark",2009,"A",2652
"197","Denmark",2010,"H1",2
"198","Denmark",2010,"H1p09",70
"199","Denmark",2010,"H3",1
"200","Denmark",2010,"A",73
"201","Denmark",2011,"H1",0
"202","Denmark",2011,"H1p09",426
"203","Denmark",2011,"H3",14
"204","Denmark",2011,"A",440
"205","Denmark",2012,"H1",0
"206","Denmark",2012,"H1p09",17
"207","Denmark",2012,"H3",307
"208","Denmark",2012,"A",324
"209","Denmark",2013,"H1",0
"210","Denmark",2013,"H1p09",284
"211","Denmark",2013,"H3",1280
"212","Denmark",2013,"A",1564
"213","Denmark",2014,"H1",0
"214","Denmark",2014,"H1p09",1091
"215","Denmark",2014,"H3",99
"216","Denmark",2014,"A",1190
"217","Denmark",2015,"H1",0
"218","Denmark",2015,"H1p09",861
"219","Denmark",2015,"H3",1278
"220","Denmark",2015,"A",2139
"221","Denmark",2016,"H1",0
"222","Denmark",2016,"H1p09",925
"223","Denmark",2016,"H3",353
"224","Denmark",2016,"A",1278
"225","Denmark",2017,"H1",0
"226","Denmark",2017,"H1p09",10
"227","Denmark",2017,"H3",1635
"228","Denmark",2017,"A",1645
"229","Estonia",2008,"H1",133
"230","Estonia",2008,"H1p09",0
"231","Estonia",2008,"H3",1
"232","Estonia",2008,"A",134
"233","Estonia",2009,"H1",3
