ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 10/11/2017 01:25:23 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Singapore,Western Pacific Region of WHO,South-East Asia,1997,5,1/27/97,2/2/97,,,,,,,,0,,,,0,0,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,1997,40,9/29/97,10/5/97,,,,,,,,0,,,,0,0,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,1997,45,11/3/97,11/9/97,,,,,,,,0,,,,0,0,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,1998,5,1/26/98,2/1/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,6,2/2/98,2/8/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,7,2/9/98,2/15/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,8,2/16/98,2/22/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,9,2/23/98,3/1/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,10,3/2/98,3/8/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,11,3/9/98,3/15/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,12,3/16/98,3/22/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,13,3/23/98,3/29/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,14,3/30/98,4/5/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,15,4/6/98,4/12/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,16,4/13/98,4/19/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,1998,17,4/20/98,4/26/98,,,,,,,,0,,,,0,0,,Sporadic
Singapore,Western Pacific Region of WHO,South-East Asia,2001,52,12/24/01,12/30/01,,82,0,,1,,3,4,,,,0,4,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,1,12/31/01,1/6/02,,128,1,,2,,5,8,,,,0,8,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,2,1/7/02,1/13/02,,157,0,,0,,2,2,,,,0,2,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,3,1/14/02,1/20/02,,144,0,,3,,4,7,,,,0,7,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,4,1/21/02,1/27/02,,173,0,,0,,5,5,,,,0,5,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,5,1/28/02,2/3/02,,230,0,,1,,2,3,,,,0,3,,No Report
Singapore,Western Pacific Region of WHO,South-East Asia,2002,6,2/4/02,2/10/02,,221,0,,0,,4,4,,,,0,4,,No Report
