Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,1997,1,12/30/96,1/5/97,,2744,0,,247,,544,791,,,40,40,831,,No Report
United States of America,Region of the Americas of WHO,North America,1997,2,1/6/97,1/12/97,,1921,0,,215,,224,439,,,18,18,457,,No Report
United States of America,Region of the Americas of WHO,North America,1997,3,1/13/97,1/19/97,,1519,0,,193,,101,294,,,34,34,328,,No Report
United States of America,Region of the Americas of WHO,North America,1997,4,1/20/97,1/26/97,,1284,0,,118,,60,178,,,44,44,222,,No Report
United States of America,Region of the Americas of WHO,North America,1997,5,1/27/97,2/2/97,,1347,0,,77,,59,136,,,82,82,218,,No Report
United States of America,Region of the Americas of WHO,North America,1997,6,2/3/97,2/9/97,,1408,0,,74,,33,107,,,67,67,174,,No Report
United States of America,Region of the Americas of WHO,North America,1997,7,2/10/97,2/16/97,,941,0,,9,,12,21,,,97,97,118,,No Report
United States of America,Region of the Americas of WHO,North America,1997,8,2/17/97,2/23/97,,1480,0,,17,,17,34,,,148,148,182,,No Report
United States of America,Region of the Americas of WHO,North America,1997,9,2/24/97,3/2/97,,1458,0,,19,,8,27,,,154,154,181,,No Report
United States of America,Region of the Americas of WHO,North America,1997,10,3/3/97,3/9/97,,1345,0,,11,,7,18,,,126,126,144,,No Report
United States of America,Region of the Americas of WHO,North America,1997,11,3/10/97,3/16/97,,1123,0,,16,,4,20,,,133,133,153,,No Report
United States of America,Region of the Americas of WHO,North America,1997,12,3/17/97,3/23/97,,892,0,,4,,1,5,,,114,114,119,,No Report
United States of America,Region of the Americas of WHO,North America,1997,13,3/24/97,3/30/97,,674,0,,0,,3,3,,,50,50,53,,No Report
United States of America,Region of the Americas of WHO,North America,1997,36,9/1/97,9/7/97,,,,,1,,,1,,,,0,1,,No Report
United States of America,Region of the Americas of WHO,North America,1997,38,9/15/97,9/21/97,,,,,,,12,12,,,,0,12,,No Report
United States of America,Region of the Americas of WHO,North America,1997,40,9/29/97,10/5/97,,,,,,,1,1,,,,0,1,,No Activity
United States of America,Region of the Americas of WHO,North America,1997,41,10/6/97,10/12/97,,,,,,,1,1,,,,0,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,42,10/13/97,10/19/97,,,,,,,,0,,,,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,43,10/20/97,10/26/97,,,,,,,,0,,,,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,1997,44,10/27/97,11/2/97,,,,,,,,0,,,,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,1997,45,11/3/97,11/9/97,,,,,,,1,1,,,,0,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,46,11/10/97,11/16/97,,,,,,,,0,,,,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,48,11/24/97,11/30/97,,,,,,,,0,,,,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1997,49,12/1/97,12/7/97,,,,,,,,0,,,,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,1997,50,12/8/97,12/14/97,,,,,,,,0,,,,0,0,,Regional Outbreak
,,,,,,,,,0,0,1001,0,1088,2089,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
United States of America,Region of the Americas of WHO,North America,1998,1,12/29/97,1/4/98,,,,,,,,0,,,,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,2,1/5/98,1/11/98,,,,,,,,0,,,,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,3,1/12/98,1/18/98,,,,,,,,0,,,,0,0,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,5,1/26/98,2/1/98,,,,,,,,0,,,,0,0,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1998,9,2/23/98,3/1/98,,3141,0,,83,,410,493,,,3,3,496,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,10,3/2/98,3/8/98,,2638,0,,52,,231,283,,,4,4,287,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,11,3/9/98,3/15/98,,2036,0,,43,,131,174,,,5,5,179,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,12,3/16/98,3/22/98,,1454,0,,19,,67,86,,,4,4,90,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1998,13,3/23/98,3/29/98,,1179,0,,8,,56,64,,,3,3,67,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,14,3/30/98,4/5/98,,464,0,,5,,10,15,,,2,2,17,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,15,4/6/98,4/12/98,,518,0,,4,,13,17,,,,0,17,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,40,9/28/98,10/4/98,,1407,0,,2,,0,2,,,,0,2,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,41,10/5/98,10/11/98,,1453,0,,4,,1,5,,,,0,5,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,42,10/12/98,10/18/98,,1654,1,,0,,2,3,,,,0,3,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,43,10/19/98,10/25/98,,1813,0,,1,,0,1,,,5,5,6,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,44,10/26/98,11/1/98,,2051,0,,12,,6,18,,,,0,18,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,45,11/2/98,11/8/98,,2202,0,,5,,5,10,,,4,4,14,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,46,11/9/98,11/15/98,,2051,0,,4,,0,4,,,4,4,8,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,47,11/16/98,11/22/98,,1810,0,,5,,4,9,,,8,8,17,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,48,11/23/98,11/29/98,,2372,0,,11,,6,17,,,11,11,28,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1998,49,11/30/98,12/6/98,,2527,1,,9,,15,25,,,19,19,44,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1998,50,12/7/98,12/13/98,,2428,1,,12,,15,28,,,14,14,42,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,51,12/14/98,12/20/98,,2190,0,,21,,35,56,,,25,25,81,,Sporadic
United States of America,Region of the Americas of WHO,North America,1998,52,12/21/98,12/27/98,,2672,1,,47,,81,129,,,30,30,159,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1998,53,12/28/98,1/3/99,,3468,0,,72,,185,257,,,74,74,331,,Regional Outbreak
,,,,,,,,,4,0,419,0,1273,1696,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
United States of America,Region of the Americas of WHO,North America,1999,1,1/4/99,1/10/99,,3815,2,,152,,308,462,,,106,106,568,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,2,1/11/99,1/17/99,,4169,1,,193,,510,704,,,153,153,857,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,3,1/18/99,1/24/99,,5044,1,,223,,654,878,,,269,269,1147,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,4,1/25/99,1/31/99,,5486,1,,350,,795,1146,,,321,321,1467,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,5,2/1/99,2/7/99,,5834,2,,317,,968,1287,,,336,336,1623,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,6,2/8/99,2/14/99,,6491,9,,261,,1059,1329,,,378,378,1707,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,7,2/15/99,2/21/99,,6318,1,,249,,1038,1288,,,355,355,1643,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,8,2/22/99,2/28/99,,5684,1,,186,,847,1034,,,326,326,1360,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,9,3/1/99,3/7/99,,3900,2,,136,,503,641,,,200,200,841,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,10,3/8/99,3/14/99,,3639,5,,99,,330,434,,,163,163,597,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1999,11,3/15/99,3/21/99,,2672,1,,69,,238,308,,,108,108,416,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1999,12,3/22/99,3/28/99,,2439,0,,42,,113,155,,,58,58,213,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,13,3/29/99,4/4/99,,1931,1,,26,,98,125,,,35,35,160,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,14,4/5/99,4/11/99,,1416,1,,13,,64,78,,,18,18,96,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,15,4/12/99,4/18/99,,1088,0,,7,,18,25,,,8,8,33,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,16,4/19/99,4/25/99,,672,0,,4,,4,8,,,1,1,9,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,17,4/26/99,5/2/99,,536,0,,3,,4,7,,,3,3,10,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,18,5/3/99,5/9/99,,377,0,,0,,0,0,,,1,1,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,38,9/20/99,9/26/99,,,,,,,2,2,,,,0,2,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,39,9/27/99,10/3/99,,1674,0,,11,,10,21,,,,0,21,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,40,10/4/99,10/10/99,,1843,0,,12,,13,25,,,1,1,26,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,41,10/11/99,10/17/99,,1997,0,,14,,30,44,,,3,3,47,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,42,10/18/99,10/24/99,,1996,0,,32,,32,64,,,,0,64,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,43,10/25/99,10/31/99,,2359,0,,58,,39,97,,,2,2,99,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,44,11/1/99,11/7/99,,2426,0,,82,,64,146,,,,0,146,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,45,11/8/99,11/14/99,,2769,0,,132,,98,230,,,,0,230,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,46,11/15/99,11/21/99,,2625,0,,124,,155,279,,,1,1,280,,Sporadic
United States of America,Region of the Americas of WHO,North America,1999,47,11/22/99,11/28/99,,3576,0,,203,,281,484,,,,0,484,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,1999,48,11/29/99,12/5/99,,4059,2,,188,,575,765,,,1,1,766,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,49,12/6/99,12/12/99,,5069,1,,274,,892,1167,,,4,4,1171,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,1999,50,12/13/99,12/19/99,,5028,1,,337,,1260,1598,,,1,1,1599,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,51,12/20/99,12/26/99,,6575,3,,373,,1537,1913,,,4,4,1917,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,1999,52,12/27/99,1/2/00,,8114,2,,369,,1730,2101,,,1,1,2102,,Widespread Outbreak
,,,,,,,,,9,0,2209,0,6716,8934,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
United States of America,Region of the Americas of WHO,North America,2000,1,1/3/00,1/9/00,,7450,0,,457,,1153,1610,,,2,2,1612,,Widespread Outbreak
United States of America,Region of the Americas of WHO,North America,2000,2,1/10/00,1/16/00,,5959,2,,302,,713,1017,,,3,3,1020,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,2000,3,1/17/00,1/23/00,,5464,3,,244,,431,678,,,4,4,682,,Regional Outbreak
United States of America,Region of the Americas of WHO,North America,2000,4,1/24/00,1/30/00,,4223,10,,152,,301,463,,,1,1,464,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,5,1/31/00,2/6/00,,3684,7,,126,,165,298,,,3,3,301,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,6,2/7/00,2/13/00,,3224,10,,69,,172,251,,,5,5,256,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,7,2/14/00,2/20/00,,2822,16,,41,,130,187,,,8,8,195,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,8,2/21/00,2/27/00,,2376,9,,26,,58,93,,,5,5,98,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,9,2/28/00,3/5/00,,1876,19,,18,,28,65,,,5,5,70,,Local Outbreak
United States of America,Region of the Americas of WHO,North America,2000,10,3/6/00,3/12/00,,1564,19,,7,,19,45,,,5,5,50,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,11,3/13/00,3/19/00,,1507,11,,1,,14,26,,,2,2,28,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,12,3/20/00,3/26/00,,1333,6,,2,,6,14,,,2,2,16,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,13,3/27/00,4/2/00,,1094,5,,2,,7,14,,,3,3,17,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,14,4/3/00,4/9/00,,917,10,,0,,6,16,,,5,5,21,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,15,4/10/00,4/16/00,,894,2,,5,,10,17,,,4,4,21,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,16,4/17/00,4/23/00,,813,1,,0,,9,10,,,2,2,12,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,17,4/24/00,4/30/00,,714,1,,0,,1,2,,,3,3,5,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,18,5/1/00,5/7/00,,630,0,,0,,1,1,,,1,1,2,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,19,5/8/00,5/14/00,,521,0,,0,,0,0,,,,0,0,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,20,5/15/00,5/21/00,,,,,,,,0,,,,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,2000,21,5/22/00,5/28/00,,,,,,,,0,,,,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,2000,22,5/29/00,6/4/00,,,,,,,,0,,,,0,0,,No Report
United States of America,Region of the Americas of WHO,North America,2000,39,9/25/00,10/1/00,,1223,0,,0,,0,0,,,1,1,1,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,40,10/2/00,10/8/00,,1282,2,,0,,2,4,,,,0,4,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,41,10/9/00,10/15/00,,1477,1,,0,,1,2,,,2,2,4,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,42,10/16/00,10/22/00,,1301,7,,3,,1,11,,,2,2,13,,Sporadic
United States of America,Region of the Americas of WHO,North America,2000,43,10/23/00,10/29/00,,1765,10,,1,,3,14,,,3,3,17,,Sporadic
