ï»¿textbox22,,,,,,,,,,,,,,,,,,,,,
generated on 06/11/2017 21:16:00 UTC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Argentina,Region of the Americas of WHO,Temperate South America,1997,17,4/21/97,4/27/97,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1997,23,6/2/97,6/8/97,,5,,,,,,0,,,4,4,4,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,24,6/9/97,6/15/97,,6,,,,,,0,,,3,3,3,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,25,6/16/97,6/22/97,,9,,,,,,0,,,2,2,2,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,26,6/23/97,6/29/97,,22,,,,,,0,,,8,8,8,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,27,6/30/97,7/6/97,,13,,,,,,0,,,2,2,2,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,39,9/22/97,9/28/97,,14,,,,,2,2,,,,0,2,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,40,9/29/97,10/5/97,,4,1,,,,,1,,,,0,1,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,41,10/6/97,10/12/97,,6,4,,,,,4,,,,0,4,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,42,10/13/97,10/19/97,,18,8,,,,,8,,,,0,8,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1997,51,12/15/97,12/21/97,,,,,,,,0,,,,0,0,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1998,2,1/5/98,1/11/98,,,,,,,,0,,,,0,0,,No Report
Argentina,Region of the Americas of WHO,Temperate South America,1998,22,5/25/98,5/31/98,,,,,,,,0,,,,0,0,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1998,23,6/1/98,6/7/98,,,,,,,,0,,,,0,0,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1998,24,6/8/98,6/14/98,,,,,,,,0,,,,0,0,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1998,25,6/15/98,6/21/98,,,,,,,,0,,,,0,0,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1998,26,6/22/98,6/28/98,,,,,,,,0,,,,0,0,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1998,45,11/2/98,11/8/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,46,11/9/98,11/15/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,47,11/16/98,11/22/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,49,11/30/98,12/6/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,50,12/7/98,12/13/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,51,12/14/98,12/20/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,52,12/21/98,12/27/98,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1998,53,12/28/98,1/3/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,1,1/4/99,1/10/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,2,1/11/99,1/17/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,3,1/18/99,1/24/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,4,1/25/99,1/31/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,5,2/1/99,2/7/99,,,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,6,2/8/99,2/14/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,7,2/15/99,2/21/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,8,2/22/99,2/28/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,9,3/1/99,3/7/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,10,3/8/99,3/14/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,11,3/15/99,3/21/99,,,,,1,,,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,12,3/22/99,3/28/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,13,3/29/99,4/4/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,14,4/5/99,4/11/99,,1,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,15,4/12/99,4/18/99,,3,2,,,,1,3,,,,0,3,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,16,4/19/99,4/25/99,,4,1,,,,3,4,,,,0,4,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,17,4/26/99,5/2/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,18,5/3/99,5/9/99,,1,1,,,,,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,19,5/10/99,5/16/99,,2,2,,,,,2,,,,0,2,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,20,5/17/99,5/23/99,,1,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,21,5/24/99,5/30/99,,13,,,,,13,13,,,,0,13,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,22,5/31/99,6/6/99,,22,,,,,21,21,,,1,1,22,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,23,6/7/99,6/13/99,,11,,,3,,8,11,,,,0,11,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,24,6/14/99,6/20/99,,32,,,6,,14,20,,,3,3,23,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,25,6/21/99,6/27/99,,48,,,29,,9,38,,,,0,38,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,26,6/28/99,7/4/99,,89,,,50,,12,62,,,,0,62,,Widespread Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,27,7/5/99,7/11/99,,81,,,28,,33,61,,,2,2,63,,Widespread Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,28,7/12/99,7/18/99,,69,,,13,,32,45,,,5,5,50,,Widespread Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,29,7/19/99,7/25/99,,48,,,5,,31,36,,,,0,36,,Widespread Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,30,7/26/99,8/1/99,,18,,,6,,5,11,,,1,1,12,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,31,8/2/99,8/8/99,,35,1,,5,,15,21,,,2,2,23,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,32,8/9/99,8/15/99,,24,,,1,,20,21,,,2,2,23,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,33,8/16/99,8/22/99,,6,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,34,8/23/99,8/29/99,,46,,,1,,33,34,,,2,2,36,,Regional Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,35,8/30/99,9/5/99,,29,,,3,,13,16,,,7,7,23,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,36,9/6/99,9/12/99,,45,7,,,,29,36,,,9,9,45,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,37,9/13/99,9/19/99,,14,,,,,12,12,,,2,2,14,,Local Outbreak
Argentina,Region of the Americas of WHO,Temperate South America,1999,38,9/20/99,9/26/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,39,9/27/99,10/3/99,,1,1,,,,,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,40,10/4/99,10/10/99,,7,1,,,,6,7,,,,0,7,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,41,10/11/99,10/17/99,,5,,,,,5,5,,,,0,5,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,42,10/18/99,10/24/99,,11,1,,,,10,11,,,,0,11,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,43,10/25/99,10/31/99,,8,1,,,,7,8,,,,0,8,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,44,11/1/99,11/7/99,,3,2,,,,1,3,,,,0,3,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,45,11/8/99,11/14/99,,1,,,,,,0,,,1,1,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,46,11/15/99,11/21/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,47,11/22/99,11/28/99,,7,3,,,,3,6,,,1,1,7,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,48,11/29/99,12/5/99,,4,3,,,,1,4,,,,0,4,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,49,12/6/99,12/12/99,,1,1,,,,,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,50,12/13/99,12/19/99,,2,,,,,1,1,,,1,1,2,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,1999,51,12/20/99,12/26/99,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,1999,52,12/27/99,1/2/00,,1,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2000,1,1/3/00,1/9/00,,2,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2000,2,1/10/00,1/16/00,,1,,,,,0,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,3,1/17/00,1/23/00,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,4,1/24/00,1/30/00,,1,,,,,0,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,5,1/31/00,2/6/00,,1,,,,,0,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,6,2/7/00,2/13/00,,,,,,,,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,7,2/14/00,2/20/00,,1,,,,,0,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,8,2/21/00,2/27/00,,2,,,,,0,0,,,,0,0,,No Activity
Argentina,Region of the Americas of WHO,Temperate South America,2000,9,2/28/00,3/5/00,,4,,,,,2,2,,,,0,2,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2000,10,3/6/00,3/12/00,,3,,,,,1,1,,,,0,1,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2000,11,3/13/00,3/19/00,,7,,,,,,0,,,,0,0,,Sporadic
Argentina,Region of the Americas of WHO,Temperate South America,2000,12,3/20/00,3/26/00,,8,,,,,,0,,,,0,0,,Sporadic
