Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,1,12/29/08,1/4/09,7,7,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,2,1/5/09,1/11/09,7,7,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,3,1/12/09,1/18/09,17,17,0,0,0,0,0,0,2,0,0,2,2,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,4,1/19/09,1/25/09,25,25,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,5,1/26/09,2/1/09,8,8,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,6,2/2/09,2/8/09,9,9,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,7,2/9/09,2/15/09,5,5,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,8,2/16/09,2/22/09,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,9,2/23/09,3/1/09,4,4,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,10,3/2/09,3/8/09,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,11,3/9/09,3/15/09,1,1,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,12,3/16/09,3/22/09,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,13,3/23/09,3/29/09,5,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,14,3/30/09,4/5/09,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,15,4/6/09,4/12/09,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,16,4/13/09,4/19/09,5,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,17,4/20/09,4/26/09,1,1,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,18,4/27/09,5/3/09,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,19,5/4/09,5/10/09,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,20,5/11/09,5/17/09,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,21,5/18/09,5/24/09,12,12,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,22,5/25/09,5/31/09,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,23,6/1/09,6/7/09,16,16,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,24,6/8/09,6/14/09,11,11,0,1,0,0,0,1,1,0,0,1,2,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,25,6/15/09,6/21/09,18,18,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,26,6/22/09,6/28/09,8,8,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,27,6/29/09,7/5/09,7,7,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,28,7/6/09,7/12/09,86,86,0,14,0,0,0,14,0,0,0,0,14,,Local Outbreak
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,29,7/13/09,7/19/09,37,37,0,4,0,0,0,4,0,0,0,0,4,,Local Outbreak
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,30,7/20/09,7/26/09,46,46,0,1,0,0,0,1,0,0,0,0,1,,Local Outbreak
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,31,7/27/09,8/2/09,21,21,0,0,0,0,1,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,32,8/3/09,8/9/09,1,1,0,0,0,0,1,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,33,8/10/09,8/16/09,5,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,34,8/17/09,8/23/09,6,6,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,35,8/24/09,8/30/09,8,8,0,0,0,0,2,2,0,0,0,0,2,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,36,8/31/09,9/6/09,18,18,0,0,0,0,3,3,0,0,0,0,3,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,37,9/7/09,9/13/09,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,38,9/14/09,9/20/09,9,9,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,39,9/21/09,9/27/09,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,40,9/28/09,10/4/09,20,20,0,3,0,0,0,3,0,0,0,0,3,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,41,10/5/09,10/11/09,5,5,0,0,0,0,1,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,42,10/12/09,10/18/09,65,65,0,26,0,0,1,27,0,0,0,0,27,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,43,10/19/09,10/25/09,640,640,0,360,0,0,1,361,0,0,0,0,361,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,44,10/26/09,11/1/09,1063,1063,0,458,0,0,0,458,0,0,0,0,458,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,45,11/2/09,11/8/09,722,722,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,46,11/9/09,11/15/09,720,498,0,498,0,0,0,498,0,0,0,0,498,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,47,11/16/09,11/22/09,834,461,0,191,0,0,0,191,0,0,0,0,191,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,48,11/23/09,11/29/09,420,250,0,102,0,0,0,102,0,0,0,0,102,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,49,11/30/09,12/6/09,340,60,0,16,0,0,0,16,0,0,0,0,16,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,50,12/7/09,12/13/09,320,30,0,7,0,0,0,7,0,0,0,0,7,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,51,12/14/09,12/20/09,243,51,0,13,0,0,0,13,0,0,0,0,13,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,52,12/21/09,12/27/09,148,24,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2009,53,12/28/09,1/3/10,87,49,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,1,1/4/10,1/10/10,61,61,0,4,0,0,0,4,0,0,0,0,4,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,2,1/11/10,1/17/10,48,48,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,3,1/18/10,1/24/10,42,42,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,4,1/25/10,1/31/10,22,22,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,5,2/1/10,2/7/10,25,25,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,6,2/8/10,2/14/10,29,29,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,7,2/15/10,2/21/10,29,29,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,8,2/22/10,2/28/10,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,9,3/1/10,3/7/10,15,15,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,10,3/8/10,3/14/10,7,7,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,11,3/15/10,3/21/10,21,21,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,12,3/22/10,3/28/10,7,7,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,13,3/29/10,4/4/10,20,20,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,14,4/5/10,4/11/10,23,23,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,15,4/12/10,4/18/10,8,8,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,16,4/19/10,4/25/10,13,13,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,17,4/26/10,5/2/10,13,13,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,18,5/3/10,5/9/10,18,18,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,19,5/10/10,5/16/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,20,5/17/10,5/23/10,5,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,21,5/24/10,5/30/10,7,7,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,22,5/31/10,6/6/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,23,6/7/10,6/13/10,3,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,24,6/14/10,6/20/10,33,3,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,25,6/21/10,6/27/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,26,6/28/10,7/4/10,2,2,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,27,7/5/10,7/11/10,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,28,7/12/10,7/18/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,29,7/19/10,7/25/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,30,7/26/10,8/1/10,6,6,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,31,8/2/10,8/8/10,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,32,8/9/10,8/15/10,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,33,8/16/10,8/22/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,34,8/23/10,8/29/10,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,35,8/30/10,9/5/10,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,36,9/6/10,9/12/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,37,9/13/10,9/19/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2010,38,9/20/10,9/26/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
