Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Nigeria,African Region of WHO,Western Africa,2010,1,1/4/10,1/10/10,41,41,1,7,0,0,1,9,0,0,1,1,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,2,1/11/10,1/17/10,59,59,7,0,0,0,2,9,0,0,2,2,11,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,3,1/18/10,1/24/10,78,78,1,1,0,0,0,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,4,1/25/10,1/31/10,67,67,0,4,0,0,0,4,0,0,1,1,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,5,2/1/10,2/7/10,78,78,0,5,0,0,10,15,0,0,3,3,18,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,6,2/8/10,2/14/10,50,50,0,4,0,0,12,16,0,0,1,1,17,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,7,2/15/10,2/21/10,55,55,0,5,0,0,7,12,0,0,1,1,13,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,8,2/22/10,2/28/10,60,60,0,6,0,0,0,6,0,0,0,0,6,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,9,3/1/10,3/7/10,61,61,0,7,1,0,0,8,0,0,2,2,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,10,3/8/10,3/14/10,78,78,0,13,0,0,0,13,0,0,0,0,13,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,11,3/15/10,3/21/10,67,67,0,4,0,0,6,10,0,0,0,0,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,12,3/22/10,3/28/10,68,68,0,1,0,0,2,3,0,0,0,0,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,13,3/29/10,4/4/10,64,64,0,0,0,0,3,3,0,0,1,1,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,14,4/5/10,4/11/10,34,34,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,15,4/12/10,4/18/10,69,69,0,2,0,0,0,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,16,4/19/10,4/25/10,61,61,0,0,0,0,2,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,17,4/26/10,5/2/10,54,54,0,0,0,0,1,1,0,0,0,0,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,18,5/3/10,5/9/10,42,42,3,0,0,0,1,4,0,0,0,0,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,19,5/10/10,5/16/10,58,58,0,0,0,0,2,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,20,5/17/10,5/23/10,55,55,0,0,1,0,2,3,0,0,0,0,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,21,5/24/10,5/30/10,73,73,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,22,5/31/10,6/6/10,40,39,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2010,23,6/7/10,6/13/10,63,63,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,24,6/14/10,6/20/10,45,45,0,0,1,0,0,1,0,0,0,0,1,,No Report
Nigeria,African Region of WHO,Western Africa,2010,25,6/21/10,6/27/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2010,26,6/28/10,7/4/10,38,38,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,27,7/5/10,7/11/10,53,53,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,28,7/12/10,7/18/10,44,44,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,29,7/19/10,7/25/10,32,32,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,30,7/26/10,8/1/10,42,42,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,31,8/2/10,8/8/10,44,40,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,32,8/9/10,8/15/10,50,50,0,0,2,0,0,2,0,0,1,1,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,33,8/16/10,8/22/10,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,34,8/23/10,8/29/10,53,53,0,0,2,0,1,3,0,0,2,2,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,35,8/30/10,9/5/10,48,48,0,0,2,0,0,2,0,0,3,3,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,36,9/6/10,9/12/10,16,16,0,0,1,0,0,1,0,0,0,0,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,37,9/13/10,9/19/10,39,39,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,38,9/20/10,9/26/10,32,32,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2010,39,9/27/10,10/3/10,29,29,0,3,0,0,0,3,0,0,0,0,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,40,10/4/10,10/10/10,23,23,0,2,4,0,0,6,0,0,2,2,8,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,42,10/18/10,10/24/10,31,31,0,0,2,0,0,2,0,0,4,4,6,,No Report
Nigeria,African Region of WHO,Western Africa,2010,43,10/25/10,10/31/10,43,43,0,1,0,0,0,1,0,0,3,3,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,44,11/1/10,11/7/10,49,49,0,1,1,0,0,2,0,0,9,9,11,,No Report
Nigeria,African Region of WHO,Western Africa,2010,45,11/8/10,11/14/10,30,30,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,46,11/15/10,11/21/10,25,25,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,47,11/22/10,11/28/10,50,50,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2010,48,11/29/10,12/5/10,61,61,0,0,0,0,2,2,0,0,2,2,4,,No Report
Nigeria,African Region of WHO,Western Africa,2010,49,12/6/10,12/12/10,60,60,0,0,0,0,0,0,0,0,2,2,2,,No Report
Nigeria,African Region of WHO,Western Africa,2010,50,12/13/10,12/19/10,73,73,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2010,51,12/20/10,12/26/10,44,44,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2010,52,12/27/10,1/2/11,30,30,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,1,1/3/11,1/9/11,50,50,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,2,1/10/11,1/16/11,61,61,0,2,0,0,0,2,0,0,0,0,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,3,1/17/11,1/23/11,67,67,0,2,0,0,0,2,0,0,0,0,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,4,1/24/11,1/30/11,57,56,0,0,0,0,0,0,0,0,8,8,8,,No Report
Nigeria,African Region of WHO,Western Africa,2011,5,1/31/11,2/6/11,56,56,0,0,0,0,1,1,0,0,2,2,3,,No Report
Nigeria,African Region of WHO,Western Africa,2011,6,2/7/11,2/13/11,22,22,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,7,2/14/11,2/20/11,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,8,2/21/11,2/27/11,30,29,0,0,0,0,0,0,0,0,2,2,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,9,2/28/11,3/6/11,34,34,0,4,1,0,3,8,0,0,5,5,13,,No Report
Nigeria,African Region of WHO,Western Africa,2011,10,3/7/11,3/13/11,42,42,0,0,0,0,0,0,0,0,4,4,4,,No Report
Nigeria,African Region of WHO,Western Africa,2011,11,3/14/11,3/20/11,30,30,0,0,1,0,0,1,0,0,1,1,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,12,3/21/11,3/27/11,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,13,3/28/11,4/3/11,34,34,0,1,0,0,0,1,0,0,1,1,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,14,4/4/11,4/10/11,56,56,0,1,1,0,1,3,0,0,4,4,7,,No Report
Nigeria,African Region of WHO,Western Africa,2011,15,4/11/11,4/17/11,64,64,0,3,0,0,1,4,0,0,3,3,7,,No Report
Nigeria,African Region of WHO,Western Africa,2011,16,4/18/11,4/24/11,33,33,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,17,4/25/11,5/1/11,27,27,0,2,0,0,0,2,0,0,0,0,2,,No Report
Nigeria,African Region of WHO,Western Africa,2011,18,5/2/11,5/8/11,43,43,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,19,5/9/11,5/15/11,54,54,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,20,5/16/11,5/22/11,58,58,0,0,1,0,0,1,0,0,5,5,6,,No Report
Nigeria,African Region of WHO,Western Africa,2011,21,5/23/11,5/29/11,49,49,0,0,0,0,0,0,0,0,1,1,1,,No Report
Nigeria,African Region of WHO,Western Africa,2011,22,5/30/11,6/5/11,60,60,0,0,0,0,0,0,0,0,3,3,3,,No Report
Nigeria,African Region of WHO,Western Africa,2011,23,6/6/11,6/12/11,61,61,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,24,6/13/11,6/19/11,77,77,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,25,6/20/11,6/26/11,74,74,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2011,26,6/27/11,7/3/11,77,77,0,1,1,0,0,2,0,0,1,1,3,,No Report
Nigeria,African Region of WHO,Western Africa,2011,27,7/4/11,7/10/11,72,72,0,1,0,0,0,1,0,0,2,2,3,,No Report
Nigeria,African Region of WHO,Western Africa,2011,28,7/11/11,7/17/11,68,68,0,0,1,0,0,1,0,0,2,2,3,,No Report
Nigeria,African Region of WHO,Western Africa,2011,29,7/18/11,7/24/11,67,67,0,1,3,0,1,5,0,0,1,1,6,,No Report
Nigeria,African Region of WHO,Western Africa,2011,30,7/25/11,7/31/11,75,75,0,7,1,0,1,9,0,0,1,1,10,,No Report
Nigeria,African Region of WHO,Western Africa,2011,31,8/1/11,8/7/11,61,61,0,4,1,0,1,6,0,0,0,0,6,,No Report
Nigeria,African Region of WHO,Western Africa,2011,32,8/8/11,8/14/11,65,62,0,4,2,0,1,7,0,0,1,1,8,,No Report
Nigeria,African Region of WHO,Western Africa,2011,33,8/15/11,8/21/11,56,55,0,2,2,0,0,4,0,0,1,1,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,34,8/22/11,8/28/11,55,55,0,0,0,0,0,0,0,0,4,4,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,35,8/29/11,9/4/11,30,28,0,0,0,0,0,0,0,0,3,3,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,36,9/5/11,9/11/11,47,29,0,1,0,0,0,1,0,0,3,3,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,37,9/12/11,9/18/11,52,52,0,1,2,0,0,3,0,0,8,8,11,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,38,9/19/11,9/25/11,48,48,0,2,5,0,0,7,0,0,4,4,11,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,39,9/26/11,10/2/11,53,53,0,4,19,0,0,23,0,0,8,8,31,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,40,10/3/11,10/9/11,44,44,0,1,4,0,0,5,0,0,5,5,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,41,10/10/11,10/16/11,62,61,0,1,0,0,0,1,0,0,8,8,9,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,42,10/17/11,10/23/11,69,68,0,4,2,0,0,6,0,0,4,4,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,43,10/24/11,10/30/11,71,71,0,1,7,0,0,8,0,0,3,3,11,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,44,10/31/11,11/6/11,55,55,0,0,4,0,0,4,0,0,3,3,7,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,45,11/7/11,11/13/11,31,31,0,0,3,0,1,4,0,0,1,1,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,46,11/14/11,11/20/11,37,37,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Nigeria,African Region of WHO,Western Africa,2011,47,11/21/11,11/27/11,55,55,0,0,2,0,0,2,0,0,2,2,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,48,11/28/11,12/4/11,93,90,0,0,8,0,0,8,0,0,4,4,12,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,49,12/5/11,12/11/11,16,16,0,0,2,0,0,2,0,0,2,2,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,50,12/12/11,12/18/11,39,39,0,0,3,0,0,3,0,0,1,1,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,51,12/19/11,12/25/11,56,54,0,0,1,0,1,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2011,52,12/26/11,1/1/12,18,15,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,1,1/2/12,1/8/12,29,29,0,0,2,0,0,2,0,0,4,4,6,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,2,1/9/12,1/15/12,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2012,3,1/16/12,1/22/12,15,15,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,4,1/23/12,1/29/12,44,44,0,0,0,0,1,1,0,0,5,5,6,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,5,1/30/12,2/5/12,25,24,0,0,0,0,0,0,0,0,2,2,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,6,2/6/12,2/12/12,18,18,0,0,1,0,0,1,0,0,2,2,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,7,2/13/12,2/19/12,46,46,0,0,0,0,0,0,0,0,3,3,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,8,2/20/12,2/26/12,53,53,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,9,2/27/12,3/4/12,48,48,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,10,3/5/12,3/11/12,46,46,0,0,3,0,2,5,0,0,0,0,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,11,3/12/12,3/18/12,48,47,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,12,3/19/12,3/25/12,37,34,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,13,3/26/12,4/1/12,42,42,0,0,0,0,0,0,0,0,3,3,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,14,4/2/12,4/8/12,58,57,0,0,2,0,1,3,0,0,3,3,6,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,15,4/9/12,4/15/12,31,31,0,0,1,0,2,3,0,0,0,0,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,16,4/16/12,4/22/12,41,41,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,17,4/23/12,4/29/12,36,35,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,18,4/30/12,5/6/12,29,29,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,19,5/7/12,5/13/12,30,30,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,20,5/14/12,5/20/12,30,30,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,21,5/21/12,5/27/12,22,22,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,22,5/28/12,6/3/12,27,23,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,23,6/4/12,6/10/12,26,26,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,24,6/11/12,6/17/12,54,52,0,0,1,0,0,1,0,0,0,0,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,25,6/18/12,6/24/12,36,36,0,0,0,0,0,0,0,0,2,2,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,26,6/25/12,7/1/12,32,32,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,27,7/2/12,7/8/12,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Nigeria,African Region of WHO,Western Africa,2012,28,7/9/12,7/15/12,38,38,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,29,7/16/12,7/22/12,48,48,0,0,2,0,0,2,0,0,1,1,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,30,7/23/12,7/29/12,44,44,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,31,7/30/12,8/5/12,21,21,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,32,8/6/12,8/12/12,61,61,0,3,1,0,0,4,0,0,1,1,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,33,8/13/12,8/19/12,27,27,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,34,8/20/12,8/26/12,21,21,0,3,0,0,0,3,0,0,1,1,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,35,8/27/12,9/2/12,26,26,0,1,1,0,0,2,0,0,0,0,2,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,36,9/3/12,9/9/12,33,33,0,3,1,0,0,4,0,0,0,0,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,37,9/10/12,9/16/12,64,63,0,3,6,0,0,9,0,0,3,3,12,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,38,9/17/12,9/23/12,40,40,0,1,9,0,0,10,0,0,1,1,11,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,39,9/24/12,9/30/12,28,28,0,0,17,0,0,17,0,0,0,0,17,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,40,10/1/12,10/7/12,24,24,0,2,3,0,0,5,0,0,0,0,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,41,10/8/12,10/14/12,47,47,0,1,6,0,0,7,0,0,1,1,8,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,42,10/15/12,10/21/12,49,38,0,6,3,0,0,9,0,0,1,1,10,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,43,10/22/12,10/28/12,32,31,0,4,2,0,0,6,0,0,1,1,7,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,44,10/29/12,11/4/12,56,56,0,1,2,0,0,3,0,0,1,1,4,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,45,11/5/12,11/11/12,42,5,0,0,0,0,0,0,0,0,0,0,0,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,46,11/12/12,11/18/12,53,53,0,0,0,0,0,0,0,0,7,7,7,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,47,11/19/12,11/25/12,29,29,0,1,2,0,0,3,0,0,6,6,9,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,48,11/26/12,12/2/12,49,49,0,0,0,0,0,0,0,0,1,1,1,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,49,12/3/12,12/9/12,59,58,0,2,0,0,0,2,0,0,1,1,3,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,50,12/10/12,12/16/12,48,47,0,1,1,0,0,2,0,0,3,3,5,,Sporadic
Nigeria,African Region of WHO,Western Africa,2012,51,12/17/12,12/23/12,32,31,0,1,0,0,0,1,0,0,1,1,2,,Sporadic
