"","c1","c2","c3","c4"
"1","Singapore",1997,"H1",0
"2","Singapore",1997,"H1p09",0
"3","Singapore",1997,"H3",0
"4","Singapore",1997,"A",0
"5","Singapore",1998,"H1",0
"6","Singapore",1998,"H1p09",0
"7","Singapore",1998,"H3",0
"8","Singapore",1998,"A",0
"9","Singapore",2001,"H1",0
"10","Singapore",2001,"H1p09",0
"11","Singapore",2001,"H3",1
"12","Singapore",2001,"A",1
"13","Singapore",2002,"H1",2
"14","Singapore",2002,"H1p09",0
"15","Singapore",2002,"H3",12
"16","Singapore",2002,"A",14
"17","Singapore",2007,"H1",18
"18","Singapore",2007,"H1p09",0
"19","Singapore",2007,"H3",50
"20","Singapore",2007,"A",68
"21","Singapore",2008,"H1",122
"22","Singapore",2008,"H1p09",0
"23","Singapore",2008,"H3",292
"24","Singapore",2008,"A",414
"25","Singapore",2009,"H1",136
"26","Singapore",2009,"H1p09",4772
"27","Singapore",2009,"H3",953
"28","Singapore",2009,"A",5861
"29","Singapore",2010,"H1",0
"30","Singapore",2010,"H1p09",1923
"31","Singapore",2010,"H3",776
"32","Singapore",2010,"A",2699
"33","Singapore",2011,"H1",0
"34","Singapore",2011,"H1p09",496
"35","Singapore",2011,"H3",380
"36","Singapore",2011,"A",876
"37","Singapore",2012,"H1",0
"38","Singapore",2012,"H1p09",217
"39","Singapore",2012,"H3",294
"40","Singapore",2012,"A",511
"41","Singapore",2013,"H1",0
"42","Singapore",2013,"H1p09",122
"43","Singapore",2013,"H3",459
"44","Singapore",2013,"A",581
"45","Singapore",2014,"H1",0
"46","Singapore",2014,"H1p09",201
"47","Singapore",2014,"H3",404
"48","Singapore",2014,"A",605
"49","Singapore",2015,"H1",0
"50","Singapore",2015,"H1p09",140
"51","Singapore",2015,"H3",496
"52","Singapore",2015,"A",636
"53","Singapore",2016,"H1",0
"54","Singapore",2016,"H1p09",157
"55","Singapore",2016,"H3",610
"56","Singapore",2016,"A",767
"57","Singapore",2017,"H1",0
"58","Singapore",2017,"H1p09",185
"59","Singapore",2017,"H3",416
"60","Singapore",2017,"A",601
