Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Turkey,European Region of WHO,Western Asia,1999,3,1/18/99,1/24/99,,,,,,,,0,,,,0,0,,No Report
Turkey,European Region of WHO,Western Asia,1999,4,1/25/99,1/31/99,,,,,,,,0,,,,0,0,,No Report
Turkey,European Region of WHO,Western Asia,1999,49,12/6/99,12/12/99,,,,,2,,,2,,,,0,2,,Sporadic
Turkey,European Region of WHO,Western Asia,1999,50,12/13/99,12/19/99,,,,,3,,,3,,,,0,3,,Sporadic
Turkey,European Region of WHO,Western Asia,1999,51,12/20/99,12/26/99,,,,,1,,,1,,,,0,1,,Sporadic
Turkey,European Region of WHO,Western Asia,1999,52,12/27/99,1/2/00,,,,,1,,,1,,,,0,1,,Sporadic
Turkey,European Region of WHO,Western Asia,2004,48,11/22/04,11/28/04,,,1,,3,,,4,,,2,2,6,,Sporadic
Turkey,European Region of WHO,Western Asia,2004,50,12/6/04,12/12/04,,,,,3,,,3,,,,0,3,,Sporadic
Turkey,European Region of WHO,Western Asia,2004,52,12/20/04,12/26/04,,,,,3,,,3,,,,0,3,,Sporadic
Turkey,European Region of WHO,Western Asia,2004,53,12/27/04,1/2/05,,,,,,,3,3,,,1,1,4,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2005,2,1/10/05,1/16/05,,,,,,,4,4,,,,0,4,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,40,10/3/05,10/9/05,,0,0,,0,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2005,41,10/10/05,10/16/05,,4,0,,0,,0,0,,,,0,0,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,42,10/17/05,10/23/05,,8,0,,0,,0,0,,,,0,0,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,43,10/24/05,10/30/05,,2,0,,0,,0,0,,,,0,0,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,44,10/31/05,11/6/05,,0,0,,0,,0,0,,,,0,0,,No Report
Turkey,European Region of WHO,Western Asia,2005,45,11/7/05,11/13/05,,50,0,,0,,1,1,,,,0,1,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,46,11/14/05,11/20/05,,50,0,,0,,0,0,,,2,2,2,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,47,11/21/05,11/27/05,,62,,,,,,0,,,2,2,2,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,48,11/28/05,12/4/05,,76,0,,0,,0,0,,,1,1,1,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,49,12/5/05,12/11/05,,86,,,,,2,2,,,6,6,8,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,50,12/12/05,12/18/05,,65,,,,,3,3,,,3,3,6,,Sporadic
Turkey,European Region of WHO,Western Asia,2005,51,12/19/05,12/25/05,,90,,,,,2,2,,,1,1,3,,No Report
Turkey,European Region of WHO,Western Asia,2005,52,12/26/05,1/1/06,,80,,,,,1,1,,,,0,1,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,1,1/2/06,1/8/06,,105,,,,,17,17,,,,0,17,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,2,1/9/06,1/15/06,,718,,,,,23,23,,,,0,23,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,3,1/16/06,1/22/06,,686,,,,,8,8,,,,0,8,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,4,1/23/06,1/29/06,,198,,,,,13,13,,,1,1,14,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,5,1/30/06,2/5/06,,207,,,,,8,8,,,,0,8,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,6,2/6/06,2/12/06,,123,,,,,4,4,,,1,1,5,,Local Outbreak
Turkey,European Region of WHO,Western Asia,2006,7,2/13/06,2/19/06,,115,,,,,1,1,,,,0,1,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,8,2/20/06,2/26/06,,105,,,,,2,2,,,1,1,3,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,9,2/27/06,3/5/06,,105,,,,,0,0,,,,0,0,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,10,3/6/06,3/12/06,,106,,,,,17,17,,,1,1,18,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,11,3/13/06,3/19/06,,66,,,,,12,12,,,6,6,18,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,12,3/20/06,3/26/06,,70,,,,,13,13,,,2,2,15,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,13,3/27/06,4/2/06,,53,,,,,7,7,,,1,1,8,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,14,4/3/06,4/9/06,,53,,,,,,0,,,3,3,3,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,15,4/10/06,4/16/06,,34,,,,,,0,,,10,10,10,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,16,4/17/06,4/23/06,,49,,,,,2,2,,,3,3,5,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,31,7/31/06,8/6/06,,12,1,,,,,1,,,,0,1,,No Activity
Turkey,European Region of WHO,Western Asia,2006,32,8/7/06,8/13/06,,0,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,33,8/14/06,8/20/06,,0,0,,0,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,34,8/21/06,8/27/06,,3,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,35,8/28/06,9/3/06,,3,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,36,9/4/06,9/10/06,,4,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,37,9/11/06,9/17/06,,4,,,,,0,0,,,,0,0,,No Report
Turkey,European Region of WHO,Western Asia,2006,38,9/18/06,9/24/06,,5,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,39,9/25/06,10/1/06,,4,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,40,10/2/06,10/8/06,,2,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,41,10/9/06,10/15/06,,45,,,,,0,0,,,,0,0,,No Activity
Turkey,European Region of WHO,Western Asia,2006,42,10/16/06,10/22/06,,52,,,,,,0,,,4,4,4,,Sporadic
Turkey,European Region of WHO,Western Asia,2006,43,10/23/06,10/29/06,,12,,,,,0,0,,,,0,0,,No Report
